idx,cdacordao,classe,rank_bm25,rank_dense,rank_hyde,rank_hybrid,rank_basehyb
170,1861538,"Apelação Cível / Defeito, nulidade ou anulação",1.0,4.0,3.0,1.0,1.0
171,1861562,Apelação Cível / Eletiva,1.0,,1.0,1.0,4.0
172,1861567,Apelação Cível / Contratos Bancários,1.0,6.0,1.0,1.0,1.0
173,1861591,Apelação Cível / Perdas e Danos,1.0,,1.0,1.0,5.0
174,1861594,Apelação Cível / Obrigação de Fazer / Não Fazer,1.0,,2.0,2.0,3.0
175,1863415,"Agravo Interno Cível / Reajustes de Remuneração, Proventos ou Pensão",1.0,1.0,1.0,1.0,1.0
176,1863422,"Agravo Interno Cível / Defeito, nulidade ou anulação",1.0,3.0,1.0,1.0,1.0
177,1863442,Agravo Interno Cível / Inclusão Indevida em Cadastro de Inadimplentes,4.0,2.0,1.0,2.0,3.0
178,1863447,Agravo Interno Cível / Inclusão Indevida em Cadastro de Inadimplentes,1.0,2.0,5.0,2.0,1.0
179,1863483,Agravo Interno Cível / Alienação Fiduciária,1.0,1.0,2.0,1.0,1.0
180,1863502,Agravo Interno Cível / Assistência Judiciária Gratuita,1.0,,1.0,1.0,2.0
181,1863507,Agravo de Instrumento / Liminar,1.0,,1.0,1.0,6.0
182,1863695,Embargos de Declaração Cível / Honorários Advocatícios,1.0,5.0,1.0,1.0,1.0
183,1862908,Embargos de Declaração Cível / Inclusão Indevida em Cadastro de Inadimplentes,1.0,1.0,2.0,1.0,1.0
184,1862911,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,3.0,5.0,
185,1862932,Embargos de Declaração Criminal / Tráfico de Drogas e Condutas Afins,1.0,,6.0,1.0,4.0
186,1862331,Embargos de Declaração Criminal / Coação no curso do processo,1.0,6.0,1.0,1.0,1.0
187,1862374,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,5.0,,3.0,2.0
188,1862384,Apelação Criminal / Homicídio Qualificado,1.0,,1.0,1.0,6.0
189,1862433,Agravo de Instrumento / Recuperação extrajudicial,1.0,1.0,1.0,1.0,1.0
190,1862464,Agravo de Instrumento / Contratos Bancários,1.0,,1.0,1.0,2.0
191,1862629,Agravo de Execução Penal / Transferência de Preso,1.0,5.0,8.0,1.0,1.0
192,1862661,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,,2.0,5.0
193,1861253,Embargos de Declaração Criminal / Adulteração de Sinal Identificador de Veículo Automotor,1.0,,,2.0,3.0
194,1861274,Embargos de Declaração Cível / Fato Atípico,1.0,5.0,1.0,1.0,1.0
195,1861347,"Embargos de Declaração Cível / Defeito, nulidade ou anulação",1.0,3.0,1.0,1.0,1.0
196,1861392,Agravo de Instrumento / Penhora / Depósito/ Avaliação,4.0,,3.0,2.0,8.0
197,1861406,Agravo de Instrumento / Ausência de Legitimidade para a Causa,1.0,,1.0,1.0,4.0
198,1861475,Embargos de Declaração Criminal / Regressão de Regime,1.0,,1.0,1.0,3.0
199,1861597,Apelação Cível / Descontos dos benefícios,5.0,,1.0,1.0,10.0
200,1861651,"Apelação Cível / Defeito, nulidade ou anulação",1.0,3.0,1.0,1.0,1.0
201,1861673,Apelação Cível / Dívida Ativa,2.0,,,4.0,4.0
202,1861690,Apelação Cível / Dívida Ativa,6.0,,,,
203,1861698,Apelação Cível / Urgência,1.0,,1.0,1.0,2.0
204,1861699,Apelação Cível / Dívida Ativa,5.0,,,10.0,10.0
205,1861715,Apelação Cível / Dívida Ativa,4.0,,,8.0,8.0
206,1861716,Apelação Cível / Dívida Ativa,3.0,,,6.0,6.0
207,1861730,Apelação Cível / Dívida Ativa,,,,,
208,1861731,Apelação Cível / Dívida Ativa,,,,,
209,1861747,Apelação Cível / Dívida Ativa,,,,,
210,1861764,Apelação Cível / Dívida Ativa,,,,,
211,1861779,Apelação Cível / Dívida Ativa,,,,,
212,1861780,Apelação Cível / Dívida Ativa,,,,,
213,1861786,Apelação Cível / Contratos Bancários,1.0,,1.0,1.0,4.0
214,1861794,Apelação Cível / Efeito Suspensivo / Impugnação / Embargos à Execução,1.0,,1.0,1.0,5.0
215,1861802,Apelação Cível / Eletiva,1.0,,,2.0,2.0
216,1861819,Apelação Cível / Dívida Ativa,,,,,
217,1861820,Apelação Cível / Dívida Ativa,,,,,
218,1861842,Apelação Cível / Dívida Ativa,,,,,
219,1861851,Apelação Cível / Dívida Ativa,,,,,
220,1861856,"Apelação Cível / Defeito, nulidade ou anulação",2.0,3.0,7.0,3.0,2.0
221,1861861,Apelação Cível / Dívida Ativa,,,,,
222,1861862,Apelação Cível / Dívida Ativa,,,,,
223,1861873,Apelação Cível / Dívida Ativa,,,,,
224,1861887,Apelação Cível / Dívida Ativa,,,,,
225,1861888,Apelação Cível / Dívida Ativa,,,,,
226,1861910,Apelação Cível / Dívida Ativa,,,,,
227,1861928,Apelação Cível / Dívida Ativa,,,,,
228,1861929,Apelação Cível / Dívida Ativa,,,,,
229,1861948,Apelação Cível / Dívida Ativa,,,,,
230,1861949,Apelação Cível / Dívida Ativa,,,,,
231,1861955,Apelação Cível / Dívida Ativa,10.0,,,,
232,1861956,Apelação Cível / Dívida Ativa,9.0,,,,
233,1860285,Embargos de Declaração Criminal / Peculato,1.0,,8.0,1.0,3.0
234,1860332,Revisão Criminal / Tráfico de Drogas e Condutas Afins,8.0,,1.0,1.0,
235,1859274,Agravo Interno Cível / Oncológico,,,1.0,1.0,
236,1859287,Agravo Interno Cível / ISS/ Imposto sobre Serviços,1.0,,1.0,1.0,2.0
237,1859290,Agravo Interno Cível / Cédula Hipotecária,1.0,1.0,1.0,1.0,1.0
238,1859291,Agravo Interno Criminal / Furto Qualificado,,,5.0,8.0,
239,1859294,Apelação Cível / Padronizado,1.0,5.0,3.0,1.0,2.0
240,1859300,Agravo Interno Cível / Pagamento Indevido,1.0,1.0,1.0,1.0,1.0
241,1859305,Embargos de Declaração Criminal / Tráfico de Drogas e Condutas Afins,,,5.0,6.0,
242,1859307,Agravo Interno Cível / Expurgos Inflacionários / Planos Econômicos,1.0,1.0,1.0,1.0,1.0
